RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED,COUNTRY
1,1,Rory McIlroy,48,13.01,624.66,-302.92,538.99,
2,2,Tiger Woods,40,9.12,364.77,-137.93,359.02,
3,3,Luke Donald,51,8.77,447.48,-387.45,293.47,
4,4,Lee Westwood,51,6.72,342.48,-279.00,258.65,
5,6,Adam Scott,43,6.23,268.10,-182.27,192.06,
6,12,Louis Oosthuizen,52,6.21,322.95,-151.15,311.93,
7,5,Justin Rose,52,6.17,320.83,-177.09,291.06,
8,9,Jason Dufner,50,5.91,295.42,-129.10,263.88,
9,10,Brandt Snedeker,52,5.70,296.52,-133.88,263.27,
10,8,Webb Simpson,50,5.70,284.95,-181.11,194.09,
11,7,Bubba Watson,48,5.58,268.01,-180.62,264.33,
12,11,Steve Stricker,41,5.18,212.34,-175.79,169.65,
13,17,Phil Mickelson,50,5.18,258.91,-184.20,232.79,
14,14,Keegan Bradley,52,5.05,262.83,-126.89,215.07,
15,22,Nick Watney,52,5.00,260.02,-173.38,195.34,
16,27,Ian Poulter,52,5.00,259.96,-147.93,213.69,
17,13,Matt Kuchar,50,4.96,247.96,-213.21,206.79,
18,15,Dustin Johnson,48,4.89,234.70,-200.12,165.91,
19,25,Peter Hanson,52,4.82,250.69,-126.73,225.40,
20,21,Ernie Els,52,4.75,246.90,-131.56,252.88,
21,16,Zach Johnson,50,4.71,235.46,-134.42,215.20,
22,18,Sergio Garcia,48,4.58,219.70,-122.02,155.92,
23,23,Bo Van Pelt,52,4.50,233.90,-137.47,189.34,
24,19,Graeme McDowell,52,4.42,229.75,-215.59,203.90,
25,20,Hunter Mahan,52,4.25,221.06,-183.01,201.49,
26,24,Jim Furyk,52,4.00,208.14,-126.48,198.51,
27,26,Paul Lawrie,49,3.77,184.53,-77.98,175.97,
28,30,Francesco Molinari,52,3.66,190.53,-147.70,173.71,
29,28,Rickie Fowler,51,3.61,184.03,-138.52,146.88,
30,32,Carl Pettersson,52,3.58,186.12,-85.01,191.98,
