RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED,COUNTRY
1,1,Tiger Woods,40,16.82,672.72,-488.89,501.37,
2,2,Vijay Singh,58,10.37,601.45,-275.81,550.87,
3,3,Ernie Els,55,9.01,495.62,-350.98,477.13,
4,4,Davis Love III,49,8.14,398.81,-235.30,412.39,
5,5,Jim Furyk,52,7.67,398.92,-198.69,392.70,
6,6,Mike Weir,46,7.13,327.76,-181.65,390.81,
7,8,Retief Goosen,60,6.22,372.90,-300.44,303.62,
8,9,Kenny Perry,53,5.73,303.81,-159.50,301.42,
9,7,David Toms,53,5.65,299.35,-278.88,247.10,
10,10,Padraig Harrington,48,5.40,259.02,-209.00,191.92,
11,12,Darren Clarke,55,4.86,267.55,-149.82,238.28,
12,11,Nick Price,40,4.83,193.39,-135.47,158.91,
13,13,Phil Mickelson,51,4.37,222.96,-286.79,131.59,
14,26,Chad Campbell,62,4.17,258.46,-65.61,269.37,
15,14,Stuart Appleby,61,3.97,242.29,-124.24,196.93,
16,15,Justin Leonard,50,3.85,192.57,-157.19,149.80,
17,16,Robert Allenby,57,3.84,218.98,-151.01,166.59,
18,17,Brad Faxon,53,3.76,199.30,-109.57,182.05,
19,19,Freddie Jacobson,45,3.71,166.88,-67.45,149.89,
20,18,K.J. Choi,63,3.66,230.28,-110.96,191.99,
21,29,Charles Howell III,66,3.61,238.58,-157.41,184.95,
22,21,Adam Scott,59,3.37,198.72,-111.10,154.90,
23,24,Scott Verplank,52,3.34,173.71,-135.00,166.55,
24,27,Jonathan Kaye,55,3.31,182.05,-57.61,173.20,
25,20,Paul Casey,52,3.28,170.56,-79.57,179.74,
26,22,Jay Haas,49,3.27,160.32,-72.52,178.48,
27,23,Chris DiMarco,56,3.24,181.16,-213.65,152.37,
28,25,Bob Tway,54,3.23,174.34,-79.74,162.91,
29,36,Chris Riley,58,3.18,184.53,-109.64,146.09,
30,32,Thomas Bjørn,49,3.13,153.25,-107.55,120.39,
31,30,Fred Funk,65,3.12,202.75,-125.85,151.48,
32,28,Rocco Mediate,47,3.12,146.56,-116.22,117.54,
33,33,Jerry Kelly,59,3.10,182.94,-155.46,143.49,
34,31,Sergio Garcia,53,3.07,162.67,-230.90,71.60,
35,34,Stephen Leaney,50,2.96,148.06,-74.81,119.82,
36,35,Fred Couples,40,2.93,117.31,-52.54,128.87,
37,39,Rich Beem,58,2.84,164.47,-121.54,70.30,
38,40,Bob Estes,51,2.81,143.27,-152.54,121.73,
39,38,Colin Montgomerie,55,2.75,151.39,-154.37,77.52,
40,37,Shigeki Maruyama,53,2.74,145.46,-115.96,100.70,
41,41,Alex Cejka,56,2.73,152.97,-68.21,118.09,
42,42,Peter Lonard,65,2.72,176.55,-113.97,129.39,
43,43,Shaun Micheel,59,2.67,157.67,-32.64,150.91,
44,45,Michael Campbell,51,2.67,136.25,-119.66,75.06,
45,44,Eduardo Romero,44,2.66,116.91,-83.04,61.31,
46,47,Justin Rose,58,2.64,153.38,-106.98,103.72,
47,46,Loren Roberts,49,2.62,128.39,-72.17,92.28,
48,49,Ben Curtis,40,2.60,103.93,-14.60,118.54,
49,48,Ian Poulter,57,2.59,147.58,-75.66,123.86,
50,50,Stewart Cink,56,2.50,140.00,-93.04,130.24,
51,51,Scott Hoch,40,2.50,99.93,-132.57,75.89,
52,53,Niclas Fasth,52,2.48,129.21,-96.95,103.52,
53,54,Phillip Price,49,2.45,120.14,-57.54,118.66,
54,52,Tim Herron,59,2.44,144.15,-66.99,138.71,
55,55,Kirk Triplett,50,2.36,118.10,-84.38,119.41,
56,63,Steve Flesch,65,2.36,153.09,-92.46,143.43,
57,56,Trevor Immelman,64,2.34,149.91,-88.44,141.01,
58,58,John Huston,49,2.33,114.08,-71.63,101.06,
59,60,Len Mattiace,55,2.32,127.73,-101.67,98.55,
60,61,Scott McCarron,55,2.31,127.17,-111.19,89.41,
61,62,Jeff Sluman,64,2.30,147.11,-121.03,110.31,
62,59,John Rollins,62,2.28,141.38,-74.81,112.34,
63,65,Toshi Izawa,43,2.25,96.82,-92.61,82.11,
64,64,Shingo Katayama,54,2.25,121.35,-88.68,80.38,
65,57,Ángel Cabrera,46,2.20,101.13,-119.53,54.13,
66,66,Lee Westwood,57,2.18,124.07,-32.13,113.42,
67,68,Brian Davis,59,2.14,126.22,-51.53,123.13,
68,67,Tim Clark,61,2.12,129.58,-69.66,116.86,
69,70,Briny Baird,66,2.11,139.15,-64.15,142.15,
70,69,Jonathan Byrd,61,2.10,128.11,-65.69,97.52,
71,71,Rory Sabbatini,53,2.00,105.81,-72.07,99.89,
72,74,Mathias Grönberg,43,1.99,85.62,-47.60,86.82,
73,72,J.L. Lewis,62,1.98,122.84,-49.69,119.08,
74,73,Nick Faldo,40,1.97,78.67,-62.76,61.02,
75,77,Dan Forsman,52,1.95,101.40,-53.28,80.95,
76,76,Craig Parry,50,1.94,97.17,-93.64,31.72,
77,78,Steve Lowery,57,1.94,110.43,-102.64,64.08,
