RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
1,1,Rory McIlroy,66,1.367,65.623,48
2,2,Bubba Watson,76,.967,54.142,56
3,3,Ryan Palmer,85,.760,50.908,67
4,5,Boo Weekley,73,.732,40.978,56
5,6,Dustin Johnson,58,.730,29.941,41
6,4,Adam Scott,68,.725,40.578,56
7,7,Louis Oosthuizen,50,.724,21.712,30
8,8,Hunter Mahan,88,.687,49.474,72
9,9,Henrik Stenson,56,.650,24.701,38
10,10,Jhonattan Vegas,77,.628,40.175,64
11,11,Gary Woodland,93,.581,42.425,73
12,12,Ángel Cabrera,69,.554,33.780,61
13,13,Charl Schwartzel,64,.550,29.711,54
14,15,Charlie Beljan,76,.523,35.066,67
15,16,J.B. Holmes,86,.509,39.220,77
16,17,Kevin Stadler,90,.505,32.801,65
17,18,Charles Howell III,106,.498,47.349,95
18,14,Jason Day,54,.495,16.326,33
19,19,Will Wilcox,51,.487,19.478,40
20,21,Billy Horschel,92,.473,32.665,69
21,20,Kevin Streelman,79,.471,28.276,60
22,22,Robert Streb,75,.461,29.513,64
23,23,Justin Hicks,103,.456,41.022,90
24,24,Kyle Stanley,87,.440,31.663,72
25,25,Keegan Bradley,89,.430,28.812,67
26,26,Brooks Koepka,56,.425,17.854,42
T27,T29,John Peterson,62,.415,22.835,55
T27,T29,Charley Hoffman,93,.415,31.568,76
29,31,Shawn Stefani,60,.412,23.493,57
30,28,Justin Rose,70,.402,20.906,52
31,32,Kevin Chappell,100,.386,33.606,87
32,27,Sergio Garcia,61,.382,15.283,40
33,33,Jamie Lovemark,64,.374,17.567,47
34,34,Robert Garrigus,80,.362,26.433,73
35,T35,Graham DeLaet,80,.360,23.013,64
36,37,Brendon de Jonge,109,.339,31.213,92
37,38,Lucas Glover,68,.335,15.756,47
38,39,Lee Westwood,57,.334,14.349,43
39,T35,Hideki Matsuyama,82,.325,20.828,64
