RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,John Daly,72,288.8,"39,278",136
2,2,John Adams,78,286.7,"44,729",156
3,3,Fred Couples,66,285.8,"35,435",124
4,4,Davis Love III,80,285.7,"44,568",156
5,5,Tim Herron,100,283.5,"55,572",196
6,6,Steve Stricker,82,281.8,"43,961",156
7,7,Kelly Gibson,114,280.8,"64,025",228
T8,T9,Phil Mickelson,77,280.4,"40,933",146
T8,8,Carl Paulson,87,280.4,"48,784",174
10,T9,Steve Jones,83,280.0,"45,355",162
11,12,Scott McCarron,86,279.9,"48,139",172
12,T9,Vijay Singh,90,279.8,"47,573",170
13,13,"Joe Acosta, Jr.",71,279.7,"39,713",142
14,14,Chris Smith,80,279.5,"44,722",160
15,15,Ernie Els,65,278.8,"34,018",122
T16,T17,Woody Austin,117,278.6,"64,074",230
T16,T17,Tom Purtzer,83,278.6,"46,253",166
18,T17,Mark Calcavecchia,103,278.4,"55,119",198
19,16,Tom Watson,54,278.3,"30,055",108
20,20,Lucas Parsons,56,278.0,"31,140",112
21,21,"Jim Gallagher, Jr.",73,277.2,"40,470",146
22,22,Stuart Appleby,95,276.5,"52,530",190
23,23,Jesper Parnevik,68,276.4,"35,373",128
T24,T24,Robert Gamez,75,275.9,"41,381",150
T24,T24,Dan Pohl,58,275.9,"32,008",116
26,27,Paul Stankowski,71,275.7,"39,151",142
27,T28,Tommy Tolles,95,275.3,"50,112",182
28,T28,Andrew Magee,76,275.2,"41,831",152
29,26,David Duval,75,275.0,"38,780",141
30,30,Jay Williamson,77,274.9,"42,334",154
31,31,Andy Bean,75,274.7,"41,202",150
32,32,Mike Heinen,95,274.0,"52,060",190
33,33,Brian Henninger,84,273.9,"46,015",168
34,34,Grant Waite,75,273.8,"41,073",150
35,35,Charlie Rymer,90,273.2,"49,183",180
36,36,Phil Blackmar,94,272.9,"51,305",188
37,37,Tom Lehman,79,272.8,"40,367",148
38,38,Michael Bradley,87,272.6,"47,429",174
39,39,Payne Stewart,87,272.2,"45,180",166
T40,T40,Marco Dawson,87,272.1,"47,337",174
T40,T40,John Huston,84,272.1,"45,716",168
T42,T43,Keith Fergus,84,271.6,"45,627",168
T42,T43,Mike Standly,81,271.6,"43,449",160
44,42,Kenny Perry,81,271.5,"43,990",162
45,45,"Dave Stockton, Jr.",92,271.3,"49,925",184
46,46,John Elliott,51,271.2,"27,660",102
T47,T47,Steve Lowery,100,271.1,"54,219",200
T47,T47,Paul Azinger,77,271.1,"40,670",150
49,49,Curt Byrum,56,270.9,"30,339",112
50,50,Jay Delsing,86,270.8,"46,584",172
51,51,Taylor Smith,76,270.7,"41,139",152
T52,52,Craig Stadler,56,270.4,"27,579",102
T52,,Greg Norman,51,270.4,"25,419",94
T54,T53,Nick Price,52,270.3,"25,950",96
