RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,Dan Pohl,96,280.1,"52,939",189
2,2,Fred Couples,84,277.6,"46,358",167
3,3,Tom Purtzer,105,275.6,"57,605",209
4,4,Fuzzy Zoeller,88,274.9,"47,553",173
5,5,Lon Hinkle,101,272.5,"54,508",200
6,7,Tommy Valentine,102,270.8,"54,710",202
T7,8,Larry Ziegler,56,270.7,"30,318",112
T7,6,Jeff Mitchell,103,270.7,"55,491",205
9,9,Tom Weiskopf,71,270.2,"38,364",142
10,T10,Ed Dougherty,66,270.0,"35,637",132
11,T10,Bruce Douglass,89,269.9,"48,037",178
12,T10,Charlie Gibson,65,269.6,"34,775",129
13,13,Dave Eichelberger,118,269.4,"63,572",236
14,14,Craig Stadler,99,269.1,"51,665",192
15,15,Dana Quigley,67,268.3,"35,949",134
16,,Barry Harwell,50,268.1,"26,546",99
17,18,Leonard Thompson,103,267.8,"54,355",203
18,16,Jim Barber,53,267.6,"28,369",106
19,20,Gary Hallberg,101,267.5,"53,490",200
T20,17,Jim Dent,71,267.4,"37,699",141
T20,21,Jerry Pate,95,267.4,"50,278",188
22,T25,Tom Watson,77,267.2,"40,351",151
23,19,Don Levin,58,267.0,"30,702",115
24,22,George Burns,98,266.7,"51,998",195
T25,23,George Cadle,89,266.4,"46,886",176
T25,T25,Buddy Gardner,67,266.4,"35,699",134
T25,24,Mike Holland,82,266.4,"43,685",164
28,27,Bob Shearer,63,266.1,"33,526",126
29,T28,Bruce Lietzke,92,265.8,"47,575",179
T30,32,Keith Fergus,93,265.7,"48,886",184
T30,30,Bob Gilder,108,265.7,"56,602",213
T32,31,Bob Byman,76,265.5,"40,360",152
T32,T28,Bill Calfee,82,265.5,"43,274",163
34,T33,Jim Thorpe,92,265.4,"48,840",184
35,T33,Mick Soli,59,265.2,"31,297",118
T36,37,Bobby Clampett,94,265.0,"49,560",187
T36,36,Peter Jacobsen,81,265.0,"42,139",159
38,T40,Greg Powers,97,264.9,"50,868",192
T39,T33,Mike Smith,59,264.8,"31,246",118
T39,T40,Chip Beck,79,264.8,"41,568",157
T41,38,Woody Blackburn,82,264.7,"43,146",163
T41,39,Bobby Wadkins,118,264.7,"61,146",231
T43,T42,Barney Thompson,82,264.6,"43,133",163
T43,T42,Beau Baugh,54,264.6,"28,574",108
45,45,Jack Nicklaus,62,264.3,"32,510",123
46,44,Scott Hoch,103,264.2,"53,892",204
47,47,John Fought,85,263.9,"44,860",170
48,46,Dave Barr,75,263.8,"39,309",149
49,T50,Steve Melnyk,77,263.5,"40,322",153
T50,T52,Johnny Miller,62,263.4,"32,399",123
T50,T52,Raymond Floyd,90,263.4,"46,095",175
T50,48,Vance Heafner,126,263.4,"65,850",250
T50,T52,Bobby Walzel,62,263.4,"31,866",121
54,49,Charles Coody,88,263.3,"46,084",175
55,T57,Andy North,93,263.2,"47,906",182
T56,T52,John Adams,67,263.1,"34,996",133
T56,T57,Jim Booros,65,263.1,"33,938",129
58,T50,Roger Calvin,80,262.8,"42,048",160
T59,T52,Brad Bryant,96,262.7,"50,173",191
T59,62,J.C. Snead,101,262.7,"52,283",199
T61,T63,Mike Sullivan,107,262.5,"55,904",213
T61,61,Howard Twitty,113,262.5,"58,277",222
